pokemon_id,type,name
1,"poison, grass",bulbasaur
2,"poison, grass",ivysaur
3,"poison, grass",venusaur
4,fire,charmander
5,fire,charmeleon
6,"flying, fire",charizard
7,water,squirtle
8,water,wartortle
9,water,blastoise
10,bug,caterpie
11,bug,metapod
12,"flying, bug",butterfree
13,"poison, bug",weedle
14,"poison, bug",kakuna
15,"poison, bug",beedrill
16,"normal, flying",pidgey
17,"normal, flying",pidgeotto
18,"normal, flying",pidgeot
19,normal,rattata
20,normal,raticate
21,"normal, flying",spearow
22,"normal, flying",fearow
23,poison,ekans
24,poison,arbok
25,electric,pikachu
26,electric,raichu
27,ground,sandshrew
28,ground,sandslash
29,poison,nidoran-f
30,poison,nidorina
31,"poison, ground",nidoqueen
32,poison,nidoran-m
33,poison,nidorino
34,"poison, ground",nidoking
35,fairy,clefairy
36,fairy,clefable
37,fire,vulpix
38,fire,ninetales
39,"normal, fairy",jigglypuff
40,"normal, fairy",wigglytuff
41,"flying, poison",zubat
42,"flying, poison",golbat
43,"poison, grass",oddish
44,"poison, grass",gloom
45,"poison, grass",vileplume
46,"bug, grass",paras
47,"bug, grass",parasect
48,"poison, bug",venonat
49,"poison, bug",venomoth
50,ground,diglett
51,ground,dugtrio
52,normal,meowth
53,normal,persian
54,water,psyduck
55,water,golduck
56,fighting,mankey
57,fighting,primeape
58,fire,growlithe
59,fire,arcanine
60,water,poliwag
61,water,poliwhirl
62,"fighting, water",poliwrath
63,psychic,abra
64,psychic,kadabra
65,psychic,alakazam
66,fighting,machop
67,fighting,machoke
68,fighting,machamp
69,"poison, grass",bellsprout
70,"poison, grass",weepinbell
71,"poison, grass",victreebel
72,"poison, water",tentacool
73,"poison, water",tentacruel
74,"ground, rock",geodude
75,"ground, rock",graveler
76,"ground, rock",golem
77,fire,ponyta
78,fire,rapidash
79,"water, psychic",slowpoke
80,"water, psychic",slowbro
81,"steel, electric",magnemite
82,"steel, electric",magneton
83,"normal, flying",farfetchd
84,"normal, flying",doduo
85,"normal, flying",dodrio
86,water,seel
87,"water, ice",dewgong
88,poison,grimer
89,poison,muk
90,water,shellder
91,"water, ice",cloyster
92,"poison, ghost",gastly
93,"poison, ghost",haunter
94,"poison, ghost",gengar
95,"ground, rock",onix
96,psychic,drowzee
97,psychic,hypno
98,water,krabby
99,water,kingler
100,electric,voltorb
101,electric,electrode
102,"grass, psychic",exeggcute
103,"grass, psychic",exeggutor
104,ground,cubone
105,ground,marowak
106,fighting,hitmonlee
107,fighting,hitmonchan
108,normal,lickitung
109,poison,koffing
